,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Fergus Falls,1,US,1593217018,44,46.28,-96.08,300.37,2.1
1,Marsá Maţrūḩ,0,EG,1593217245,82,31.35,27.25,295.61,3.99
2,Pangnirtung,17,CA,1593217246,63,66.15,-65.71,284.34,1.08
3,Tamiahua,82,MX,1593217248,79,21.27,-97.45,301.55,6.43
4,Hermanus,19,ZA,1593217249,87,-34.42,19.23,284.82,6.26
5,Port Alfred,3,ZA,1593217250,78,-33.59,26.89,284.26,1.34
6,Kumul,99,CN,1593217251,61,42.8,93.45,293.22,4.64
7,Lorengau,44,PG,1593217252,75,-2.02,147.27,302.18,4.79
8,Talnakh,100,RU,1593217254,82,69.49,88.4,289.15,5.0
9,Tortolì,5,IT,1593217255,88,39.93,9.66,293.15,4.6
10,Cape Town,75,ZA,1593216996,76,-33.93,18.42,288.71,11.3
11,Makakilo City,40,US,1593217258,45,21.35,-158.09,305.15,4.6
12,Saint George,1,US,1593217232,9,37.1,-113.58,311.15,2.6
13,Alofi,99,NU,1593217260,65,-19.06,-169.92,299.15,6.7
14,Ushuaia,20,AR,1593217006,80,-54.8,-68.3,275.15,9.3
15,Puerto Ayora,70,EC,1593217263,92,-0.74,-90.35,294.26,1.34
16,Rikitea,86,PF,1593217264,80,-23.12,-134.97,296.55,6.08
17,Ust-Kuyga,43,RU,1593217265,36,70.02,135.6,297.88,1.92
18,Valdosta,90,US,1593217146,62,30.83,-83.28,303.15,1.5
19,Harper,68,LR,1593217268,86,4.38,-7.72,297.25,4.07
20,Kapaa,1,US,1593217269,66,22.08,-159.32,302.15,5.7
21,Khatanga,64,RU,1593217270,57,71.97,102.5,290.11,4.28
22,Severo-Kuril'sk,77,RU,1593217271,65,50.68,156.12,284.58,4.49
23,Mataura,90,NZ,1593217273,83,-46.19,168.86,277.04,1.34
24,Yellowknife,75,CA,1593217122,52,62.46,-114.35,292.59,3.1
25,Hobart,75,AU,1593217005,75,-42.88,147.33,280.15,3.6
26,Manggar,63,ID,1593217276,79,-2.88,108.27,300.81,4.71
27,Clyde River,20,CA,1593217278,87,70.47,-68.59,279.15,2.1
28,Fort Morgan,75,US,1593217016,67,40.25,-103.8,290.15,5.1
29,Grindavik,75,IS,1593217280,93,63.84,-22.43,283.15,1.5
